VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	MARIEVILLE	ST HYACINTHE 2	IBERVILLE	FARNHAM	SABREVOIS	STE MADELEINE	FLEURY	ST GUILLAUME	STE MARTINE	GRANBY	ST NAZAIRE	DRUMMONDVILLE	PHILIPSBURG	ST BERNARD DE LACOLLE	RICHMOND
Max Temp (deg C)	2006	3	3	4	0.9	-6.0	-6.0	-6.0	-6.5	-5.0										
Max Temp (deg C)	2006	3	4	4	0.9	-1.9	-3.0	-1.0	-2.5	-1.0										
Max Temp (deg C)	2006	3	5	4	0.9	-2.2	-2.0	-2.0	-3.0	-2.0										
Max Temp (deg C)	2006	3	6	4	0.9	-0.5	1.1	-1.0	-1.5	-1.0										
Max Temp (deg C)	2006	3	7	4	0.9	-2.6	-3.0	-2.5	-2.5	-2.0										
Max Temp (deg C)	2006	3	8	4	0.9	-1.5	-2.0	-2.0	-2.0	2.5										
Max Temp (deg C)	2006	3	9	4	0.9	6.0	5.0	7.0	6.0	5.5										
Max Temp (deg C)	2006	3	10	4	0.9	9.7	8.0	10.0	11.5	11.0										
Max Temp (deg C)	2006	3	11	4	0.9	8.6	7.5	9.0	9.0	9.5										
Max Temp (deg C)	2006	3	12	4	0.9	7.1	6.0	7.5	7.5	8.0										
Max Temp (deg C)	2006	3	13	4	0.9	10.9	10.0	11.5	12.5	9.0										
Max Temp (deg C)	2006	3	14	4	0.9	7.7	6.0	7.0	9.5	12.0										
Max Temp (deg C)	2006	3	15	4	0.9	-2.0	-2.0	-1.5	-3.0	-2.0										
Max Temp (deg C)	2006	3	16	4	0.9	-1.4	-1.5	-1.0	-2.0	-1.5										
Max Temp (deg C)	2006	3	17	4	0.9	-3.3	-3.0	-3.5	-4.0	-2.0										
Max Temp (deg C)	2006	3	18	4	0.9	-5.8	-6.0	-5.5	-6.5	-5.0										
Max Temp (deg C)	2006	3	19	4	0.9	-2.9	-3.0	-2.5	-4.0	-2.5										
Max Temp (deg C)	2006	3	20	4	0.9	-1.8	-1.0	-2.0	-2.5	-2.0										
Max Temp (deg C)	2006	3	21	4	0.9	0.6	1.0	0.0	-0.5	3.0										
Max Temp (deg C)	2006	3	22	4	0.9	3.5	3.0	3.0	1.5	8.5										
Max Temp (deg C)	2006	3	23	4	0.9	7.9	8.0	8.5	6.5	7.5										
Max Temp (deg C)	2006	3	24	4	0.93	7.6	7.5		7.5	7.0	9.0									
Max Temp (deg C)	2006	3	25	4	0.93	9.5	10.0		8.5	9.0	11.0									
Max Temp (deg C)	2006	3	26	4	0.9	8.6	9.0	9.0	7.0	8.5										
Max Temp (deg C)	2006	3	27	4	0.9	7.8	8.0	8.0	7.0	7.5										
Max Temp (deg C)	2006	3	28	4	0.9	11.5	11.0	12.0	11.0	12.0										
