VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	ST HYACINTHE 2	FLEURY	STE MADELEINE	MARIEVILLE	ST GUILLAUME	ST NAZAIRE	IBERVILLE	FARNHAM	DRUMMONDVILLE	SABREVOIS	ST AMABLE	GRANBY	PIERREVILLE	DANVILLE	STE MARTINE	PHILIPSBURG	ST BERNARD DE LACOLLE	VERCHERES
Max Temp (deg C)	2011	4	20	4	0.89	4.7	2.0		7.0	2.5	4.0												
Max Temp (deg C)	2011	4	21	4	0.9	6.0	5.5	6.5	6.0			6.5											
Max Temp (deg C)	2011	4	22	4	0.9	12.1	12.0	12.5	12.0			12.0											
Max Temp (deg C)	2011	4	23	4	0.9	11.6	11.9		11.0		12.0	10.5											
Max Temp (deg C)	2011	4	24	4	0.9	13.5	13.5	13.5	13.0			14.0											
Max Temp (deg C)	2011	4	25	4	0.94	16.8	17.0	16.5		16.5	16.5												
Max Temp (deg C)	2011	4	26	4	0.9	13.9	13.0	14.5	14.0			14.0											
Max Temp (deg C)	2011	4	27	4	0.9	18.2	14.0	18.5	21.0			19.0											
Max Temp (deg C)	2011	4	28	4	0.9	22.4	22.5	22.5	22.0			22.0											
Max Temp (deg C)	2011	4	29	4	0.87	14.0	15.0	14.5	13.0		13.5												
Max Temp (deg C)	2011	4	30	4	0.87	17.1	17.0	17.5	17.0		16.5												
Max Temp (deg C)	2011	5	1	4	0.9	21.2	20.0	21.0	22.0			21.0											
Max Temp (deg C)	2011	5	2	4	0.9	19.4	20.5	20.0	18.5			18.0											
Max Temp (deg C)	2011	5	3	4	0.9	11.9	11.5	12.0	12.0			12.0											
Max Temp (deg C)	2011	5	4	4	0.9	8.1	8.5	8.0	8.0			8.0											
Max Temp (deg C)	2011	5	5	4	0.87	6.8	7.0	6.0	7.5		6.0												
Max Temp (deg C)	2011	5	6	4	0.9	16.2	16.0	16.0	16.0			16.5											
Max Temp (deg C)	2011	5	7	4	0.9	16.7	14.5	16.5	18.0			17.5											
Max Temp (deg C)	2011	5	8	4	0.9	16.2	15.5	16.5	17.0			15.0											
Max Temp (deg C)	2011	5	9	4	0.9	18.2	18.0	18.5	18.0			18.0											
Max Temp (deg C)	2011	5	10	4	0.9	17.8	17.0	18.0	18.0			18.0											
Max Temp (deg C)	2011	5	11	4	0.9	20.4	20.0	21.0	20.0			20.5											
Max Temp (deg C)	2011	5	12	4	0.87	21.7	21.0	22.0	22.0		21.0												
Max Temp (deg C)	2011	5	13	4	0.87	27.0	26.0	27.0	27.0		27.0												
