Station Name	QUEBEC/JEAN LESAGE INTL A
Province	QUEBEC
Latitude	46.8
Longitude	-71.38
Elevation	74.4
Climate Identifier	7016294

Created by	WHAT Beta 4.0.5
Created on	14/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	1
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1985/01/01
Date End	2005/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.63		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.61		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.45		3645 (99.8 % of filled)	8 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Total Precip (mm)	1764 (23.0 % of total)	1764 (100.0 % of missing)		1.0	3.26		1739 (98.6 % of filled)	3 (0.2 % of filled)	11 (0.6 % of filled)	11 (0.6 % of filled)

TOTAL	12723 (41.5 % of total)	12723 (100.0 % of missing)		---	---		12676 (99.6 % of filled)	25 (0.2 % of filled)	11 (0.1 % of filled)	11 (0.1 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	QUEBEC/JEAN LESAGE INTL A	QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	2004	12	4	1	0.62	-3.8	-3.8			
Max Temp (deg C)	2004	12	5	1	0.62	1.0	1.0			
Max Temp (deg C)	2004	12	6	1	0.62	-11.0	-11.0			
Max Temp (deg C)	2004	12	7	1	0.62	-7.8	-7.8			
Max Temp (deg C)	2004	12	8	1	0.62	-3.2	-3.2			
Max Temp (deg C)	2004	12	9	1	0.62	-4.1	-4.1			
Max Temp (deg C)	2004	12	10	1	0.62	-2.4	-2.4			
Max Temp (deg C)	2004	12	11	1	0.62	-2.0	-2.0			
Max Temp (deg C)	2004	12	12	1	0.62	-2.6	-2.6			
Max Temp (deg C)	2004	12	13	1	0.62	-3.3	-3.3			
Max Temp (deg C)	2004	12	14	1	0.62	-6.1	-6.1			
Max Temp (deg C)	2004	12	15	1	0.62	-12.1	-12.1			
Max Temp (deg C)	2004	12	16	1	0.62	-3.5	-3.5			
Max Temp (deg C)	2004	12	17	1	0.62	-0.1	-0.1			
Max Temp (deg C)	2004	12	18	1	0.62	-5.8	-5.8			
Max Temp (deg C)	2004	12	19	1	0.62	-3.0	-3.0			
Max Temp (deg C)	2004	12	20	1	0.62	-14.1	-14.1			
Max Temp (deg C)	2004	12	21	1	0.62	-17.4	-17.4			
Max Temp (deg C)	2004	12	22	1	0.62	-4.8	-4.8			
Max Temp (deg C)	2004	12	23	1	0.62	6.5	6.5			
Max Temp (deg C)	2004	12	24	1	0.62	-3.4	-3.4			
Max Temp (deg C)	2004	12	25	1	0.62	-12.8	-12.8			
Max Temp (deg C)	2004	12	26	1	0.62	-12.5	-12.5			
Max Temp (deg C)	2004	12	27	1	0.62	-10.6	-10.6			
Max Temp (deg C)	2004	12	28	1	0.62	-7.5	-7.5			
Max Temp (deg C)	2004	12	29	1	0.62	-3.1	-3.1			
Max Temp (deg C)	2004	12	30	1	0.62	-8.2	-8.2			
Max Temp (deg C)	2004	12	31	1	0.62	6.1	6.1			
Max Temp (deg C)	2005	1	1	1	0.62	5.5	5.5			
Max Temp (deg C)	2005	1	2	1	0.62	-9.2	-9.2			
Max Temp (deg C)	2005	1	3	1	0.62	-1.8	-1.8			
Max Temp (deg C)	2005	1	4	1	0.62	-9.3	-9.3			
Max Temp (deg C)	2005	1	5	1	0.62	-10.4	-10.4			
Max Temp (deg C)	2005	1	6	1	0.62	-8.0	-8.0			
Max Temp (deg C)	2005	1	7	1	0.62	-4.7	-4.7			
Max Temp (deg C)	2005	1	8	1	0.62	-4.2	-4.2			
Max Temp (deg C)	2005	1	9	1	0.62	-7.7	-7.7			
Max Temp (deg C)	2005	1	10	1	0.62	-0.8	-0.8			
Max Temp (deg C)	2005	1	11	1	0.62	-11.4	-11.4			
Max Temp (deg C)	2005	1	12	1	0.62	-6.5	-6.5			
Max Temp (deg C)	2005	1	13	1	0.62	0.8	0.8			
Max Temp (deg C)	2005	1	14	1	0.62	8.5	8.5			
Max Temp (deg C)	2005	1	15	1	0.62	-9.6	-9.6			
Max Temp (deg C)	2005	1	16	1	0.62	-9.4	-9.4			
Max Temp (deg C)	2005	1	17	1	0.62	-11.6	-11.6			
Max Temp (deg C)	2005	1	18	1	0.62	-18.9	-18.9			
Max Temp (deg C)	2005	1	19	1	0.62	-12.3	-12.3			
Max Temp (deg C)	2005	1	20	1	0.62	-10.6	-10.6			
Max Temp (deg C)	2005	1	21	1	0.62	-21.1	-21.1			
Max Temp (deg C)	2005	1	22	1	0.62	-17.2	-17.2			
Max Temp (deg C)	2005	1	23	1	0.62	-16.6	-16.6			
Max Temp (deg C)	2005	1	24	1	0.62	-13.3	-13.3			
Max Temp (deg C)	2005	1	25	1	0.62	-13.9	-13.9			
Max Temp (deg C)	2005	1	26	1	0.62	-13.9	-13.9			
Max Temp (deg C)	2005	1	27	1	0.62	-15.5	-15.5			
Max Temp (deg C)	2005	1	28	1	0.62	-15.0	-15.0			
Max Temp (deg C)	2005	1	29	1	0.62	-9.2	-9.2			
Max Temp (deg C)	2005	1	30	1	0.62	-0.2	-0.2			
Max Temp (deg C)	2005	1	31	1	0.62	-7.1	-7.1			
Max Temp (deg C)	2005	2	1	1	0.62	-5.9	-5.9			
Max Temp (deg C)	2005	2	2	1	0.62	-2.7	-2.7			
Max Temp (deg C)	2005	2	3	1	0.62	0.7	0.7			
Max Temp (deg C)	2005	2	4	1	0.62	3.6	3.6			
Max Temp (deg C)	2005	2	5	1	0.62	1.5	1.5			
Max Temp (deg C)	2005	2	6	1	0.62	0.7	0.7			
Max Temp (deg C)	2005	2	7	1	0.62	6.6	6.6			
Max Temp (deg C)	2005	2	8	1	0.62	3.7	3.7			
Max Temp (deg C)	2005	2	9	1	0.62	1.4	1.4			
Max Temp (deg C)	2005	2	10	1	0.62	-4.6	-4.6			
Max Temp (deg C)	2005	2	11	1	0.62	-2.9	-2.9			
Max Temp (deg C)	2005	2	12	1	0.62	-2.6	-2.6			
Max Temp (deg C)	2005	2	13	1	0.62	-6.3	-6.3			
Max Temp (deg C)	2005	2	14	1	0.62	-3.0	-3.0			
Max Temp (deg C)	2005	2	15	1	0.62	2.8	2.8			
Max Temp (deg C)	2005	2	16	1	0.62	1.4	1.4			
Max Temp (deg C)	2005	2	17	1	0.62	-5.0	-5.0			
Max Temp (deg C)	2005	2	18	1	0.62	-5.4	-5.4			
Max Temp (deg C)	2005	2	19	1	0.62	-11.0	-11.0			
Max Temp (deg C)	2005	2	20	1	0.62	-14.4	-14.4			
Max Temp (deg C)	2005	2	21	1	0.62	-10.0	-10.0			
Max Temp (deg C)	2005	2	22	1	0.62	-5.1	-5.1			
Max Temp (deg C)	2005	2	23	1	0.62	-6.3	-6.3			
Max Temp (deg C)	2005	2	24	1	0.62	-9.5	-9.5			
Max Temp (deg C)	2005	2	25	1	0.62	-6.5	-6.5			
Max Temp (deg C)	2005	2	26	1	0.62	-3.8	-3.8			
Max Temp (deg C)	2005	2	27	1	0.62	-6.1	-6.1			
Max Temp (deg C)	2005	2	28	1	0.62	-4.3	-4.3			
Max Temp (deg C)	2005	3	1	1	0.62	-3.3	-3.3			
Max Temp (deg C)	2005	3	2	1	0.62	-1.7	-1.7			
Max Temp (deg C)	2005	3	3	1	0.62	-7.7	-7.7			
Max Temp (deg C)	2005	3	4	1	0.62	-4.4	-4.4			
Max Temp (deg C)	2005	3	5	1	0.62	-0.8	-0.8			
Max Temp (deg C)	2005	3	6	1	0.62	-4.2	-4.2			
Max Temp (deg C)	2005	3	7	1	0.62	-8.0	-8.0			
Max Temp (deg C)	2005	3	8	1	0.62	-5.4	-5.4			
Max Temp (deg C)	2005	3	9	1	0.62	-12.0	-12.0			
Max Temp (deg C)	2005	3	10	1	0.62	-10.2	-10.2			
Max Temp (deg C)	2005	3	11	1	0.62	-3.3	-3.3			
Max Temp (deg C)	2005	3	12	1	0.62	-2.7	-2.7			
Max Temp (deg C)	2005	3	13	1	0.62	-0.5	-0.5			
Max Temp (deg C)	2005	3	14	1	0.62	-0.6	-0.6			
Max Temp (deg C)	2005	3	15	1	0.62	3.3	3.3			
Max Temp (deg C)	2005	3	16	1	0.62	-0.4	-0.4			
Max Temp (deg C)	2005	3	17	1	0.62	-0.1	-0.1			
Max Temp (deg C)	2005	3	18	1	0.62	0.7	0.7			
Max Temp (deg C)	2005	3	19	1	0.62	2.6	2.6			
Max Temp (deg C)	2005	3	20	1	0.62	5.9	5.9			
Max Temp (deg C)	2005	3	21	1	0.62	2.5	2.5			
Max Temp (deg C)	2005	3	22	1	0.62	4.4	4.4			
Max Temp (deg C)	2005	3	23	1	0.62	1.7	1.7			
Max Temp (deg C)	2005	3	24	1	0.62	6.8	6.8			
Max Temp (deg C)	2005	3	25	1	0.62	2.4	2.4			
Max Temp (deg C)	2005	3	26	1	0.62	0.4	0.4			
Max Temp (deg C)	2005	3	27	1	0.62	6.0	6.0			
Max Temp (deg C)	2005	3	28	1	0.62	5.5	5.5			
Max Temp (deg C)	2005	3	29	1	0.62	4.1	4.1			
Max Temp (deg C)	2005	3	30	1	0.62	4.7	4.7			
Max Temp (deg C)	2005	3	31	1	0.62	5.7	5.7			
Max Temp (deg C)	2005	4	1	1	0.62	3.0	3.0			
Max Temp (deg C)	2005	4	2	1	0.62	4.6	4.6			
Max Temp (deg C)	2005	4	3	1	0.62	6.3	6.3			
Max Temp (deg C)	2005	4	4	1	0.62	3.5	3.5			
Max Temp (deg C)	2005	4	5	1	0.62	8.8	8.8			
Max Temp (deg C)	2005	4	6	1	0.62	11.8	11.8			
Max Temp (deg C)	2005	4	7	1	0.62	2.8	2.8			
Max Temp (deg C)	2005	4	8	1	0.62	7.3	7.3			
Max Temp (deg C)	2005	4	9	1	0.62	8.1	8.1			
Max Temp (deg C)	2005	4	10	1	0.62	8.8	8.8			
Max Temp (deg C)	2005	4	11	1	0.62	4.7	4.7			
Max Temp (deg C)	2005	4	12	1	0.62	6.4	6.4			
Max Temp (deg C)	2005	4	13	1	0.62	8.6	8.6			
Max Temp (deg C)	2005	4	14	1	0.62	7.0	7.0			
Max Temp (deg C)	2005	4	15	1	0.62	10.4	10.4			
Max Temp (deg C)	2005	4	16	1	0.62	17.0	17.0			
Max Temp (deg C)	2005	4	17	1	0.62	19.0	19.0			
Max Temp (deg C)	2005	4	18	1	0.62	16.0	16.0			
Max Temp (deg C)	2005	4	19	1	0.62	19.1	19.1			
Max Temp (deg C)	2005	4	20	1	0.62	12.1	12.1			
Max Temp (deg C)	2005	4	21	1	0.62	9.3	9.3			
Max Temp (deg C)	2005	4	22	1	0.62	12.9	12.9			
Max Temp (deg C)	2005	4	23	1	0.62	7.2	7.2			
Max Temp (deg C)	2005	4	24	1	0.62	9.0	9.0			
Max Temp (deg C)	2005	4	25	1	0.62	10.0	10.0			
Max Temp (deg C)	2005	4	26	1	0.62	13.0	13.0			
Max Temp (deg C)	2005	4	27	1	0.62	9.1	9.1			
Max Temp (deg C)	2005	4	28	1	0.62	6.6	6.6			
Max Temp (deg C)	2005	4	29	1	0.62	8.7	8.7			
Max Temp (deg C)	2005	4	30	1	0.62	11.8	11.8			
Max Temp (deg C)	2005	5	1	1	0.62	11.6	11.6			
Max Temp (deg C)	2005	5	2	1	0.62	13.0	13.0			
Max Temp (deg C)	2005	5	3	1	0.62	12.0	12.0			
Max Temp (deg C)	2005	5	4	1	0.62	12.2	12.2			
Max Temp (deg C)	2005	5	5	1	0.62	15.5	15.5			
Max Temp (deg C)	2005	5	6	1	0.62	19.8	19.8			
Max Temp (deg C)	2005	5	7	1	0.62	15.6	15.6			
Max Temp (deg C)	2005	5	8	1	0.62	12.5	12.5			
Max Temp (deg C)	2005	5	9	1	0.62	20.5	20.5			
Max Temp (deg C)	2005	5	10	1	0.62	25.2	25.2			
Max Temp (deg C)	2005	5	11	1	0.62	26.0	26.0			
Max Temp (deg C)	2005	5	12	1	0.62	8.2	8.2			
Max Temp (deg C)	2005	5	13	1	0.62	14.6	14.6			
Max Temp (deg C)	2005	5	14	1	0.62	12.0	12.0			
Max Temp (deg C)	2005	5	15	1	0.62	9.7	9.7			
Max Temp (deg C)	2005	5	16	1	0.62	10.4	10.4			
Max Temp (deg C)	2005	5	17	1	0.62	15.0	15.0			
Max Temp (deg C)	2005	5	18	1	0.62	15.3	15.3			
Max Temp (deg C)	2005	5	19	1	0.62	15.1	15.1			
Max Temp (deg C)	2005	5	20	1	0.62	15.0	15.0			
Max Temp (deg C)	2005	5	21	1	0.62	10.1	10.1			
Max Temp (deg C)	2005	5	22	1	0.62	10.6	10.6			
Max Temp (deg C)	2005	5	23	1	0.62	15.1	15.1			
Max Temp (deg C)	2005	5	24	1	0.62	17.1	17.1			
Max Temp (deg C)	2005	5	25	1	0.62	19.3	19.3			
Max Temp (deg C)	2005	5	26	1	0.62	12.5	12.5			
Max Temp (deg C)	2005	5	27	1	0.62	9.8	9.8			
Max Temp (deg C)	2005	5	28	1	0.62	16.0	16.0			
Max Temp (deg C)	2005	5	29	1	0.62	12.3	12.3			
Max Temp (deg C)	2005	5	30	1	0.62	18.2	18.2			
Max Temp (deg C)	2005	5	31	1	0.62	22.9	22.9			
Max Temp (deg C)	2005	6	1	1	0.62	26.3	26.3			
Max Temp (deg C)	2005	6	2	1	0.62	29.1	29.1			
Max Temp (deg C)	2005	6	3	1	0.62	29.2	29.2			
Max Temp (deg C)	2005	6	4	1	0.62	27.2	27.2			
Max Temp (deg C)	2005	6	5	1	0.62	18.2	18.2			
Max Temp (deg C)	2005	6	6	1	0.62	17.6	17.6			
Max Temp (deg C)	2005	6	7	1	0.62	22.5	22.5			
Max Temp (deg C)	2005	6	8	1	0.62	16.8	16.8			
Max Temp (deg C)	2005	6	9	1	0.62	22.5	22.5			
Max Temp (deg C)	2005	6	10	1	0.62	28.9	28.9			
Max Temp (deg C)	2005	6	11	1	0.62	27.7	27.7			
Max Temp (deg C)	2005	6	12	1	0.62	27.7	27.7			
Max Temp (deg C)	2005	6	13	1	0.62	29.0	29.0			
Max Temp (deg C)	2005	6	14	1	0.62	14.9	14.9			
Max Temp (deg C)	2005	6	15	1	0.62	13.0	13.0			
Max Temp (deg C)	2005	6	16	1	0.62	12.3	12.3			
Max Temp (deg C)	2005	6	17	1	0.62	12.0	12.0			
Max Temp (deg C)	2005	6	18	1	0.62	14.2	14.2			
Max Temp (deg C)	2005	6	19	1	0.62	23.2	23.2			
Max Temp (deg C)	2005	6	20	1	0.62	24.4	24.4			
Max Temp (deg C)	2005	6	21	1	0.62	26.9	26.9			
Max Temp (deg C)	2005	6	22	1	0.62	19.7	19.7			
Max Temp (deg C)	2005	6	23	1	0.62	21.3	21.3			
Max Temp (deg C)	2005	6	24	1	0.62	27.0	27.0			
Max Temp (deg C)	2005	6	25	1	0.62	29.1	29.1			
Max Temp (deg C)	2005	6	26	1	0.62	26.6	26.6			
Max Temp (deg C)	2005	6	27	1	0.62	31.6	31.6			
Max Temp (deg C)	2005	6	28	1	0.62	32.4	32.4			
Max Temp (deg C)	2005	6	29	1	0.62	29.9	29.9			
Max Temp (deg C)	2005	6	30	1	0.62	28.1	28.1			
Max Temp (deg C)	2005	7	1	1	0.62	30.3	30.3			
Max Temp (deg C)	2005	7	2	1	0.62	22.3	22.3			
Max Temp (deg C)	2005	7	3	1	0.62	26.9	26.9			
Max Temp (deg C)	2005	7	4	1	0.62	29.3	29.3			
Max Temp (deg C)	2005	7	5	1	0.62	26.1	26.1			
Max Temp (deg C)	2005	7	6	1	0.62	21.4	21.4			
Max Temp (deg C)	2005	7	7	1	0.62	24.8	24.8			
Max Temp (deg C)	2005	7	8	1	0.62	27.4	27.4			
Max Temp (deg C)	2005	7	9	1	0.62	19.4	19.4			
Max Temp (deg C)	2005	7	10	1	0.62	32.1	32.1			
Max Temp (deg C)	2005	7	11	1	0.62	30.7	30.7			
Max Temp (deg C)	2005	7	12	1	0.62	27.7	27.7			
Max Temp (deg C)	2005	7	13	1	0.62	28.8	28.8			
Max Temp (deg C)	2005	7	14	1	0.62	27.4	27.4			
Max Temp (deg C)	2005	7	15	1	0.62	29.5	29.5			
Max Temp (deg C)	2005	7	16	1	0.62	30.2	30.2			
Max Temp (deg C)	2005	7	17	1	0.62	29.8	29.8			
Max Temp (deg C)	2005	7	18	1	0.62	29.9	29.9			
Max Temp (deg C)	2005	7	19	1	0.62	30.1	30.1			
Max Temp (deg C)	2005	7	20	1	0.62	26.2	26.2			
Max Temp (deg C)	2005	7	21	1	0.62	29.1	29.1			
Max Temp (deg C)	2005	7	22	1	0.62	29.1	29.1			
Max Temp (deg C)	2005	7	23	1	0.62	26.5	26.5			
Max Temp (deg C)	2005	7	24	1	0.62	25.2	25.2			
Max Temp (deg C)	2005	7	25	1	0.62	23.8	23.8			
Max Temp (deg C)	2005	7	26	1	0.62	27.5	27.5			
Max Temp (deg C)	2005	7	27	1	0.62	21.6	21.6			
Max Temp (deg C)	2005	7	28	1	0.62	22.8	22.8			
Max Temp (deg C)	2005	7	29	1	0.62	25.2	25.2			
Max Temp (deg C)	2005	7	30	1	0.62	21.9	21.9			
Max Temp (deg C)	2005	7	31	1	0.62	23.5	23.5			
Max Temp (deg C)	2005	8	1	1	0.62	23.8	23.8			
Max Temp (deg C)	2005	8	2	1	0.62	27.4	27.4			
Max Temp (deg C)	2005	8	3	1	0.62	26.6	26.6			
Max Temp (deg C)	2005	8	4	1	0.62	27.8	27.8			
Max Temp (deg C)	2005	8	5	1	0.62	28.8	28.8			
Max Temp (deg C)	2005	8	6	1	0.62	25.3	25.3			
Max Temp (deg C)	2005	8	7	1	0.62	28.6	28.6			
Max Temp (deg C)	2005	8	8	1	0.62	30.3	30.3			
Max Temp (deg C)	2005	8	9	1	0.62	31.1	31.1			
Max Temp (deg C)	2005	8	10	1	0.62	27.1	27.1			
Max Temp (deg C)	2005	8	11	1	0.62	26.7	26.7			
Max Temp (deg C)	2005	8	12	1	0.62	26.4	26.4			
Max Temp (deg C)	2005	8	13	1	0.62	27.5	27.5			
Max Temp (deg C)	2005	8	14	1	0.62	23.8	23.8			
Max Temp (deg C)	2005	8	15	1	0.62	26.6	26.6			
Max Temp (deg C)	2005	8	16	1	0.62	28.5	28.5			
Max Temp (deg C)	2005	8	17	1	0.62	21.2	21.2			
Max Temp (deg C)	2005	8	18	1	0.62	20.7	20.7			
Max Temp (deg C)	2005	8	19	1	0.62	23.7	23.7			
Max Temp (deg C)	2005	8	20	1	0.62	19.1	19.1			
Max Temp (deg C)	2005	8	21	1	0.62	24.6	24.6			
Max Temp (deg C)	2005	8	22	1	0.62	21.6	21.6			
Max Temp (deg C)	2005	8	23	1	0.62	21.8	21.8			
Max Temp (deg C)	2005	8	24	1	0.62	19.8	19.8			
Max Temp (deg C)	2005	8	25	1	0.62	27.7	27.7			
Max Temp (deg C)	2005	8	26	1	0.62	27.6	27.6			
Max Temp (deg C)	2005	8	27	1	0.62	28.4	28.4			
Max Temp (deg C)	2005	8	28	1	0.62	24.3	24.3			
Max Temp (deg C)	2005	8	29	1	0.62	27.4	27.4			
Max Temp (deg C)	2005	8	30	1	0.62	22.0	22.0			
Max Temp (deg C)	2005	8	31	1	0.62	20.2	20.2			
Max Temp (deg C)	2005	9	1	1	0.62	24.7	24.7			
Max Temp (deg C)	2005	9	2	1	0.62	26.2	26.2			
Max Temp (deg C)	2005	9	3	1	0.62	22.7	22.7			
Max Temp (deg C)	2005	9	4	1	0.62	20.5	20.5			
Max Temp (deg C)	2005	9	5	1	0.62	21.0	21.0			
Max Temp (deg C)	2005	9	6	1	0.62	24.4	24.4			
Max Temp (deg C)	2005	9	7	1	0.62	26.2	26.2			
Max Temp (deg C)	2005	9	8	1	0.62	19.7	19.7			
Max Temp (deg C)	2005	9	9	1	0.62	19.5	19.5			
Max Temp (deg C)	2005	9	10	1	0.62	19.2	19.2			
Max Temp (deg C)	2005	9	11	1	0.62	18.1	18.1			
Max Temp (deg C)	2005	9	12	1	0.62	26.6	26.6			
Max Temp (deg C)	2005	9	13	1	0.62	25.4	25.4			
Max Temp (deg C)	2005	9	14	1	0.62	28.8	28.8			
Max Temp (deg C)	2005	9	15	1	0.62	23.5	23.5			
Max Temp (deg C)	2005	9	16	1	0.62	20.7	20.7			
Max Temp (deg C)	2005	9	17	1	0.62	15.0	15.0			
Max Temp (deg C)	2005	9	18	1	0.62	16.9	16.9			
Max Temp (deg C)	2005	9	19	1	0.62	21.5	21.5			
Max Temp (deg C)	2005	9	20	1	0.62	14.3	14.3			
Max Temp (deg C)	2005	9	21	1	0.62	20.4	20.4			
Max Temp (deg C)	2005	9	22	1	0.62	16.2	16.2			
Max Temp (deg C)	2005	9	23	1	0.62	19.1	19.1			
Max Temp (deg C)	2005	9	24	1	0.62	15.7	15.7			
Max Temp (deg C)	2005	9	25	1	0.62	16.0	16.0			
Max Temp (deg C)	2005	9	26	1	0.62	14.1	14.1			
Max Temp (deg C)	2005	9	27	1	0.62	18.7	18.7			
Max Temp (deg C)	2005	9	28	1	0.62	20.2	20.2			
Max Temp (deg C)	2005	9	29	1	0.62	17.8	17.8			
Max Temp (deg C)	2005	9	30	1	0.62	13.1	13.1			
Max Temp (deg C)	2005	10	1	1	0.62	20.9	20.9			
Max Temp (deg C)	2005	10	2	1	0.62	22.3	22.3			
Max Temp (deg C)	2005	10	3	1	0.62	24.5	24.5			
Max Temp (deg C)	2005	10	4	1	0.62	24.8	24.8			
Max Temp (deg C)	2005	10	5	1	0.62	22.2	22.2			
Max Temp (deg C)	2005	10	6	1	0.62	12.0	12.0			
Max Temp (deg C)	2005	10	7	1	0.62	15.7	15.7			
Max Temp (deg C)	2005	10	8	1	0.62	9.4	9.4			
Max Temp (deg C)	2005	10	9	1	0.62	10.7	10.7			
Max Temp (deg C)	2005	10	10	1	0.62	9.7	9.7			
Max Temp (deg C)	2005	10	11	1	0.62	11.5	11.5			
Max Temp (deg C)	2005	10	12	1	0.62	13.3	13.3			
Max Temp (deg C)	2005	10	13	1	0.62	12.7	12.7			
Max Temp (deg C)	2005	10	14	1	0.62	15.2	15.2			
Max Temp (deg C)	2005	10	15	1	0.62	12.5	12.5			
Max Temp (deg C)	2005	10	16	1	0.62	10.4	10.4			
Max Temp (deg C)	2005	10	17	1	0.62	12.8	12.8			
Max Temp (deg C)	2005	10	18	1	0.62	10.7	10.7			
Max Temp (deg C)	2005	10	19	1	0.62	8.8	8.8			
Max Temp (deg C)	2005	10	20	1	0.62	7.9	7.9			
Max Temp (deg C)	2005	10	21	1	0.62	8.6	8.6			
Max Temp (deg C)	2005	10	22	1	0.62	10.5	10.5			
Max Temp (deg C)	2005	10	23	1	0.62	8.3	8.3			
Max Temp (deg C)	2005	10	24	1	0.62	6.5	6.5			
Max Temp (deg C)	2005	10	25	1	0.62	6.2	6.2			
Max Temp (deg C)	2005	10	26	1	0.62	8.2	8.2			
Max Temp (deg C)	2005	10	27	1	0.62	4.6	4.6			
Max Temp (deg C)	2005	10	28	1	0.62	4.6	4.6			
Max Temp (deg C)	2005	10	29	1	0.62	8.2	8.2			
Max Temp (deg C)	2005	10	30	1	0.62	12.4	12.4			
Max Temp (deg C)	2005	10	31	1	0.62	13.3	13.3			
Max Temp (deg C)	2005	11	1	1	0.62	17.2	17.2			
Max Temp (deg C)	2005	11	2	1	0.62	8.7	8.7			
Max Temp (deg C)	2005	11	3	1	0.62	4.2	4.2			
Max Temp (deg C)	2005	11	4	1	0.62	1.2	1.2			
Max Temp (deg C)	2005	11	5	1	0.62	2.6	2.6			
Max Temp (deg C)	2005	11	6	1	0.62	5.6	5.6			
Max Temp (deg C)	2005	11	7	1	0.62	8.2	8.2			
Max Temp (deg C)	2005	11	8	1	0.62	3.1	3.1			
Max Temp (deg C)	2005	11	9	1	0.62	2.6	2.6			
Max Temp (deg C)	2005	11	10	1	0.62	5.0	5.0			
Max Temp (deg C)	2005	11	11	1	0.62	2.5	2.5			
Max Temp (deg C)	2005	11	12	1	0.62	3.5	3.5			
Max Temp (deg C)	2005	11	13	1	0.62	10.3	10.3			
Max Temp (deg C)	2005	11	14	1	0.62	11.7	11.7			
Max Temp (deg C)	2005	11	15	1	0.62	0.7	0.7			
Max Temp (deg C)	2005	11	16	1	0.62	6.1	6.1			
Max Temp (deg C)	2005	11	17	1	0.62	3.7	3.7			
Max Temp (deg C)	2005	11	18	1	0.62	-2.6	-2.6			
Max Temp (deg C)	2005	11	19	1	0.62	1.2	1.2			
Max Temp (deg C)	2005	11	20	1	0.62	1.7	1.7			
Max Temp (deg C)	2005	11	21	1	0.62	5.4	5.4			
Max Temp (deg C)	2005	11	22	1	0.62	4.1	4.1			
Max Temp (deg C)	2005	11	23	1	0.62	-2.2	-2.2			
Max Temp (deg C)	2005	11	24	1	0.62	-3.1	-3.1			
Max Temp (deg C)	2005	11	25	1	0.62	-5.1	-5.1			
Max Temp (deg C)	2005	11	26	1	0.62	-6.0	-6.0			
Max Temp (deg C)	2005	11	27	1	0.62	-3.2	-3.2			
Max Temp (deg C)	2005	11	28	1	0.62	0.9	0.9			
Max Temp (deg C)	2005	11	29	1	0.62	8.1	8.1			
Max Temp (deg C)	2005	11	30	1	0.62	8.6	8.6			
Max Temp (deg C)	2005	12	1	1	0.62	6.6	6.6			
Max Temp (deg C)	2005	12	2	1	0.62	2.3	2.3			
Max Temp (deg C)	2005	12	3	1	0.62	-4.4	-4.4			
Max Temp (deg C)	2005	12	4	1	0.62	-4.2	-4.2			
Max Temp (deg C)	2005	12	5	1	0.62	-2.8	-2.8			
Max Temp (deg C)	2005	12	6	1	0.62	-3.1	-3.1			
Max Temp (deg C)	2005	12	7	1	0.62	-8.7	-8.7			
Max Temp (deg C)	2005	12	8	1	0.62	-8.5	-8.5			
Max Temp (deg C)	2005	12	9	1	0.62	-7.5	-7.5			
Max Temp (deg C)	2005	12	10	1	0.62	-0.8	-0.8			
Max Temp (deg C)	2005	12	11	1	0.62	-0.9	-0.9			
Max Temp (deg C)	2005	12	12	1	0.62	-3.0	-3.0			
Max Temp (deg C)	2005	12	13	1	0.62	-8.9	-8.9			
Max Temp (deg C)	2005	12	14	1	0.62	-11.4	-11.4			
Max Temp (deg C)	2005	12	15	1	0.62	-12.0	-12.0			
Max Temp (deg C)	2005	12	16	1	0.62	-5.1	-5.1			
Max Temp (deg C)	2005	12	17	1	0.62	-1.1	-1.1			
Max Temp (deg C)	2005	12	18	1	0.62	-1.9	-1.9			
Max Temp (deg C)	2005	12	19	1	0.62	-4.2	-4.2			
Max Temp (deg C)	2005	12	20	1	0.62	-4.2	-4.2			
Max Temp (deg C)	2005	12	21	1	0.62	-14.0	-14.0			
Max Temp (deg C)	2005	12	22	1	0.62	-7.9	-7.9			
Max Temp (deg C)	2005	12	23	1	0.62	0.0	0.0			
Max Temp (deg C)	2005	12	24	1	0.62	-2.5	-2.5			
Max Temp (deg C)	2005	12	25	1	0.62	-2.6	-2.6			
Max Temp (deg C)	2005	12	26	1	0.62	-2.1	-2.1			
