VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	SASKATOON INT'L A and RCS	OUTLOOK PFRA	SASKATOON WATER TP	SASKATOON SRC	VANSCOY COMINCO	BEAVER CREEK	SASKATOON CENTRAL AVE	SASKATOON 2	DUNDURN	GLENSIDE	SUTHERLAND	GRASSWOOD
Total Precip (mm)	2008	11	20	2	4.06	0.0	0.0	0.0									
Total Precip (mm)	2008	11	21	2	4.06	0.0	0.0	0.0									
Total Precip (mm)	2008	11	29	1	4.89	0.7	1.1										
Total Precip (mm)	2008	11	30	2	2.93	0.3	0.0		0.3								
Total Precip (mm)	2009	5	6	1	3.18	0.3			0.4								
Total Precip (mm)	2009	7	2	2	2.93	0.0	0.0		0.0								
Total Precip (mm)	2009	10	28	1	3.18	0.0			0.0								
Total Precip (mm)	2009	11	3	2	2.93	0.0	0.0		0.0								
Total Precip (mm)	2009	11	4	2	2.93	0.0	0.0		0.0								
Total Precip (mm)	2010	1	20	nan	nan	nan											
Total Precip (mm)	2010	1	23	1	4.54	0.0		0.0									
Total Precip (mm)	2010	1	24	nan	nan	nan											
Total Precip (mm)	2010	1	25	nan	nan	nan											
Total Precip (mm)	2010	7	2	2	2.93	23.0	2.0		27.2								
Total Precip (mm)	2010	8	24	2	2.93	0.0	0.0		0.0								
Total Precip (mm)	2010	9	8	2	2.93	0.5	0.0		0.6								
Total Precip (mm)	2010	11	17	2	2.93	0.0	0.0		0.0								
Total Precip (mm)	2011	2	17	1	4.89	0.0	0.0										
Total Precip (mm)	2011	3	25	1	3.18	0.0			0.0								
Total Precip (mm)	2011	4	27	2	2.93	1.0	2.9		1.2								
Total Precip (mm)	2011	6	29	1	4.89	0.3	0.5										
Total Precip (mm)	2011	7	26	1	4.89	0.4	0.6										
Total Precip (mm)	2011	8	26	1	4.89	0.0	0.0										
Total Precip (mm)	2011	8	27	1	4.89	0.0	0.0										
Total Precip (mm)	2011	8	28	1	4.89	0.0	0.0										
Total Precip (mm)	2011	8	29	1	4.89	0.0	0.0										
Total Precip (mm)	2011	10	12	1	4.89	0.0	0.0										
Total Precip (mm)	2011	12	31	1	4.89	0.0	0.0										
Total Precip (mm)	2012	1	20	1	4.89	0.0	0.0										
Total Precip (mm)	2012	4	11	1	4.89	0.0	0.0										
Total Precip (mm)	2012	5	28	nan	nan	nan											
Total Precip (mm)	2012	7	4	1	4.89	0.0	0.0										
Total Precip (mm)	2012	9	26	1	4.89	0.0	0.0										
Total Precip (mm)	2012	10	20	nan	nan	nan											
Total Precip (mm)	2013	1	23	1	4.89	0.0	0.0										
Total Precip (mm)	2013	6	24	1	4.89	0.0	0.0										
Total Precip (mm)	2013	6	29	nan	nan	nan											
Total Precip (mm)	2013	7	3	nan	nan	nan											
Total Precip (mm)	2013	8	20	1	4.89	0.0	0.0										
Total Precip (mm)	2013	8	21	1	4.89	0.0	0.0										
Total Precip (mm)	2013	10	23	nan	nan	nan											
Total Precip (mm)	2013	10	31	1	4.89	0.0	0.0										
Total Precip (mm)	2014	2	6	1	4.89	0.0	0.0										
Total Precip (mm)	2014	6	3	1	4.89	0.2	0.3										
Total Precip (mm)	2014	9	24	1	4.89	0.0	0.0										
Total Precip (mm)	2014	11	5	1	4.89	0.0	0.0										
Total Precip (mm)	2014	12	23	1	4.89	0.0	0.0										
