VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	TORONTO LESTER B. PEARSON INT'L 	TORONTO BUTTONVILLE A	TORONTO	RICHMOND HILL	TORONTO ISLAND A	GEORGETOWN WWTP	TORONTO MALVERN	BRAMPTON MOE	TORONTO ELLESMERE	WOODBRIDGE
Total Precip (mm)	1993	8	1	4	2.79	2.3	1.4	3.0		3.6	1.0				
Total Precip (mm)	1993	9	16	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	9	17	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	9	18	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	9	20	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	9	21	4	2.79	0.1	0.0	0.0		0.0	0.6				
Total Precip (mm)	1993	9	22	4	2.79	0.1	0.0	0.4		0.0	0.6				
Total Precip (mm)	1993	9	23	4	2.79	0.9	1.4	0.6		0.8	0.4				
Total Precip (mm)	1993	9	25	4	2.79	2.2	1.4	6.8		0.6	6.0				
Total Precip (mm)	1993	9	26	4	2.79	4.7	7.4	0.0		5.4	0.2				
Total Precip (mm)	1993	9	30	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	10	1	4	2.79	6.1	8.3	7.4		5.0	5.6				
Total Precip (mm)	1993	10	10	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	10	11	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	10	15	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	10	17	4	2.79	19.2	19.2	15.2		17.4	23.2				
Total Precip (mm)	1993	10	19	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	10	23	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	10	27	4	2.79	0.1	0.4	0.0		0.0	0.0				
